Reference Text;Alternative Text;
dmeref_458-002_5494.xml;dmeedtB1_458-002_5494.xml;
artic_d1e2728;artic_d1e2728-B1;(@artic)
artic_d1e2730;artic_d1e2730-B1;(@artic)
artic_d1e2732;artic_d1e2732-B1;(@artic)
artic_d1e2734;artic_d1e2734-B1;(@artic)
artic_d1e2736;artic_d1e2736-B1;(@artic)
artic_d1e2739;artic_d1e2739-B1;(@artic)
artic_d1e2750;artic_d1e2750-B1;(@artic)
artic_d1e2752;artic_d1e2752-B1;(@artic)
artic_d1e2754;artic_d1e2754-B1;(@artic)
artic_d1e2756;artic_d1e2756-B1;(@artic)
artic_d1e2758;artic_d1e2758-B1;(@artic)
artic_d1e2761;artic_d1e2761-B1;(@artic)


IGNORE;;
